Total_Duration_Minute,Total_Distance,Number_Of_Stops
975.0,897,31
425.0,416,16
430.0,405,17
202.0,185,8
205.0,186,8
390.0,1972,27
450.0,1979,26
605.0,578,18
650.0,576,19
640.0,1959,35
650.0,1959,36
340.0,344,9
350.0,343,9
560.0,1922,17
610.0,1922,16
505.0,1972,20
520.0,1979,19
800.0,745,31
815.0,746,31
15.0,1322,21
10.0,1325,21
650.0,1911,42
625.0,1912,41
1090.0,1333,15
1160.0,1336,15
420.0,1790,20
385.0,1798,20
525.0,504,9
530.0,503,9
325.0,322,12
340.0,330,13
315.0,318,13
340.0,317,13
525.0,504,10
530.0,503,11
625.0,1890,26
630.0,1893,24
340.0,311,16
340.0,311,16
415.0,395,16
430.0,395,16
525.0,504,10
530.0,503,11
5.0,1423,19
75.0,1423,19
510.0,490,14
505.0,490,14
485.0,1885,34
460.0,1888,35
1185.0,2559,30
1175.0,2566,30
1270.0,1355,5
1140.0,1358,5
1025.0,1355,9
995.0,1358,9
60.0,1427,16
1415.0,1430,16
710.0,650,14
710.0,650,14
940.0,930,20
980.0,933,20
1055.0,1075,10
975.0,1077,10
360.0,1598,52
355.0,1601,51
280.0,262,14
285.0,262,14
660.0,606,12
640.0,606,12
440.0,1810,42
395.0,1813,41
375.0,391,7
375.0,391,7
370.0,344,19
375.0,344,19
440.0,490,11
420.0,490,11
465.0,490,11
460.0,490,10
260.0,251,10
260.0,251,10
1165.0,2509,17
1050.0,2508,17
1325.0,1289,13
1370.0,1290,12
1010.0,2308,32
920.0,2308,32
1375.0,1301,12
1415.0,1301,12
680.0,632,14
410.0,1754,19
345.0,1754,19
1435.0,2664,37
1385.0,2670,37
935.0,1373,8
950.0,1376,8
1035.0,1366,13
1015.0,1369,13
1070.0,1157,19
1060.0,1158,19
830.0,931,10
825.0,934,10
1065.0,972,20
1050.0,972,20
845.0,831,19
830.0,831,19
735.0,735,18
740.0,733,18
755.0,2179,32
850.0,2174,32
1255.0,2673,39
1345.0,2667,39
780.0,778,20
845.0,778,20
595.0,593,8
605.0,593,8
1195.0,2483,42
1210.0,2483,43
943.0,778,17
360.0,2560,7
1135.0,1146,17
1075.0,1147,17
730.0,672,21
710.0,672,21
770.0,715,15
770.0,715,15
270.0,302,6
270.0,302,6
230.0,1637,22
190.0,1638,22
1060.0,974,23
1040.0,976,23
450.0,434,15
450.0,434,15
1045.0,2288,27
1035.0,2295,27
1025.0,944,19
1005.0,945,19
825.0,1906,57
760.0,1907,56
670.0,1558,77
655.0,1559,78
445.0,340,18
415.0,340,18
140.0,111,6
